SDSS_name,objID,NL_pred,env_label
SDSS J113418.77+541112.9,1237658801498226800,0.87,C
SDSS J160154.13-011309.2,1237648702991434184,0.93,
SDSS J160002.09+024348.0,1237654880211108224,0.97,
SDSS J162736.93+404015.8,1237655373036126419,0.97,
SDSS J000007.82-000226.0,1237657190905217208,0.97,
SDSS J112904.95+553251.8,1237657591930880120,0.88,F
SDSS J082825.87+250052.6,1237661085883695378,0.95,F
SDSS J124222.54+481955.2,1237661358619754625,0.86,
SDSS J134439.91+555938.2,1237661387602788576,0.93,F
SDSS J163603.51+454447.5,1237651714261844256,0.99,
SDSS J114829.71+051328.5,1237654605870071985,0.95,F
SDSS J151558.48+035957.0,1237654880743129447,0.97,C
SDSS J112450.83+600759.7,1237655109448695862,0.99,
SDSS J215224.51+123851.2,1237656496173810224,0.98,
SDSS J155650.85+454024.3,1237659326025629948,0.87,
SDSS J130531.80+501827.4,1237661152452345923,0.87,F
SDSS J120129.26+111206.9,1237661811199115391,0.98,Sh
SDSS J095145.09+031620.6,1237654600488714489,0.86,Sh
SDSS J140250.69+053816.2,1237661970122997917,0.97,C
SDSS J161217.01+360444.5,1237662303519179013,0.98,
SDSS J083812.04+544532.3,1237651273498755222,0.9,C
SDSS J162059.45+512751.4,1237651539800358951,0.98,
SDSS J041641.07+270514.3,1237660555449598250,0.98,
SDSS J121110.69+572819.0,1237657611803754643,0.99,F
SDSS J110131.33+075622.0,1237658300610773148,0.92,F
SDSS J101913.96+052705.2,1237658422477783145,0.92,F
SDSS J104549.34+435410.1,1237661355926487130,0.98,C
SDSS J110130.54+120747.5,1237661950246191197,0.91,F
SDSS J122532.61+080301.5,1237661972259930245,0.87,F
SDSS J023840.13+002903.2,1237663784751595756,0.9,
SDSS J080619.67+060014.9,1237661065477751105,0.99,
SDSS J123055.06+032930.7,1237651755087429961,0.95,Sh
SDSS J104807.50+001001.6,1237654670277738693,0.96,F
SDSS J111753.10+543848.7,1237657591393222782,0.87,V
SDSS J123055.30+090903.9,1237658491745796302,0.98,F
SDSS J110229.32+092849.0,1237658492810035328,0.98,F
SDSS J104440.71+440358.1,1237660634386137189,0.88,C
SDSS J083358.69+260624.4,1237661124539384041,0.94,F
SDSS J124830.73+504954.7,1237661152451166321,0.94,Sh
SDSS J003546.60+135248.1,1237649918426284130,0.91,
SDSS J091129.96+452805.8,1237657606429868175,0.93,F
