SDSS_name,objID,L_pred
SDSS J160613.76+175714.9,1237665429182742838,0.99
SDSS J133944.15+274635.2,1237665440982827046,0.96
SDSS J141923.81+243204.1,1237665532249112656,0.85
SDSS J161017.70+153716.0,1237665549438484612,0.92
SDSS J075522.50+150537.8,1237667109033869370,0.98
SDSS J110712.82+284654.5,1237667211596202105,0.99
SDSS J121410.15+301726.4,1237667254552166532,0.97
SDSS J115020.70+220046.6,1237667782294896722,0.98
SDSS J081810.60+574531.5,1237663917342392368,0.98
SDSS J155754.37+415613.7,1237659162274038053,0.99
SDSS J135135.32+371550.6,1237664294224527501,0.9
SDSS J110052.51+380615.9,1237664668438823110,0.99
SDSS J095331.02+342425.2,1237664668969533631,0.97
SDSS J155758.04+414733.3,1237659162274103334,0.99
SDSS J142824.87+322340.6,1237664852571127938,0.96
SDSS J133903.17+320923.4,1237665126940606592,0.92
SDSS J153537.05+213014.1,1237665371720253605,0.94
SDSS J145012.03+241936.8,1237665441526775982,0.99
SDSS J150238.19+232101.5,1237665441528086664,0.94
SDSS J031116.60+011124.3,1237666302165123206,0.99
SDSS J092304.39+240007.0,1237667141793546276,0.98
SDSS J075329.19+143641.8,1237667142857195982,0.98
SDSS J082616.53+172144.7,1237667212116230209,0.9
SDSS J110951.49+241542.3,1237667550883086400,0.98
SDSS J142834.46+172004.4,1237668298217488481,0.95
SDSS J152508.71+125257.5,1237668350290428133,0.95
SDSS J115451.29+025733.2,1237671140408950801,0.98
SDSS J073338.06+314621.7,1237674365917266008,0.94
SDSS J015551.98+145625.0,1237679167160910012,0.98
SDSS J111227.63+281641.3,1237667210522919138,0.9
SDSS J093956.99+245719.5,1237667212661293121,0.99
SDSS J104101.92+283812.6,1237667212667453601,0.98
SDSS J131049.00+261627.5,1237667322188267607,0.95
SDSS J110820.03+232958.0,1237667549809148015,0.98
SDSS J111055.45+240000.1,1237667550346281159,0.98
SDSS J124518.95+213208.7,1237667733974548678,0.99
SDSS J080551.07+062423.8,1237661069235716861,0.96
SDSS J114514.94+213839.8,1237667734505324558,0.94
SDSS J144012.45+185635.8,1237667782849134760,0.95
SDSS J131904.81+233733.8,1237667910599180381,0.92
SDSS J113654.22+195950.0,1237667915952816138,0.98
SDSS J113654.34+195818.1,1237667915952816187,0.99
SDSS J113654.01+195810.0,1237667915952816188,0.99
SDSS J114009.39+151938.3,1237661070332788746,0.88
SDSS J135940.86+180559.1,1237668271901573315,0.98
SDSS J143901.93+155923.1,1237668297144926235,0.99
SDSS J152032.45+115924.7,1237668331495424105,0.99
SDSS J153407.82+142344.2,1237668365311410318,0.88
SDSS J084515.76+093843.5,1237671260123955224,0.98
SDSS J074240.78+405546.0,1237673705041428632,0.98
SDSS J113050.50+603008.0,1237674475438997692,0.85
SDSS J135110.53+042142.4,1237674604286967968,0.96
SDSS J104827.29+263501.6,1237667324321857547,0.91
SDSS J121821.42+251300.3,1237667447803412579,0.86
SDSS J095604.99+195120.1,1237667536933093534,0.89
SDSS J112836.10+232416.7,1237667549274308687,0.9
SDSS J095900.21+174901.6,1237667733957378122,0.93
SDSS J111527.13+232004.3,1237667910586794061,0.95
SDSS J120649.46+250011.3,1237667911665647748,0.98
