SDSS_name,objID,L_pred
SDSS J163121.57+224149.4,1237662340553310291,0.77
SDSS J113616.80+152812.8,1237664291534405764,0.7
SDSS J125838.37+532436.0,1237658800429924474,0.68
SDSS J111224.73+312244.2,1237665330382962866,0.6
SDSS J125757.71+280342.4,1237667324334440540,0.66
SDSS J094607.45+213352.7,1237667429559369869,0.72
SDSS J134107.85+231655.4,1237667911138213991,0.7
SDSS J130219.05+380102.9,1237664674326511773,0.6
SDSS J092518.91+340644.9,1237664871360299223,0.82
SDSS J163635.18+172513.4,1237665107043352606,0.52
SDSS J162656.07+390213.8,1237659325492560169,0.55
SDSS J144415.38+225050.7,1237665549429112945,0.77
SDSS J120722.52+275105.5,1237667430647398468,0.61
SDSS J144118.18+103757.8,1237661950269718778,0.52
SDSS J102130.90+350107.6,1237664667361411131,0.52
SDSS J080706.66+184547.2,1237664835923673392,0.57
SDSS J214907.29+002650.3,1237663479792992576,0.6
SDSS J082431.85+545113.9,1237663530797039897,0.77
SDSS J122226.67+363643.4,1237664817677795360,0.81
SDSS J124935.43+033615.6,1237671264961429657,0.55
SDSS J094501.30+174756.7,1237667735029743643,0.65
SDSS J142306.89+204324.0,1237667910068863287,0.68
SDSS J121318.50+195611.8,1237667915419680862,0.77
SDSS J115144.98+030544.9,1237671128590385174,0.51
SDSS J114458.83-022347.5,1237671139869458689,0.63
SDSS J221334.34+140632.3,1237678600220246046,0.71
SDSS J020009.54+144353.1,1237679167161368764,0.79
SDSS J211346.66-054901.4,1237680241432330621,0.58
SDSS J115311.13+252615.3,1237667912201207908,0.73
SDSS J020517.54+133020.5,1237670961617895518,0.62
SDSS J003930.95-090222.8,1237652901826134092,0.56
SDSS J135046.66+021825.1,1237674602139943017,0.61
SDSS J115245.28+335926.4,1237665127467712655,0.51
SDSS J093459.07+254932.3,1237665369034391643,0.62
SDSS J135823.90+220313.6,1237665564994437295,0.67
SDSS J091644.19+195608.5,1237667430093160672,0.79
SDSS J121609.03+280746.8,1237667444044464211,0.83
SDSS J082605.40+130033.6,1237667536923197634,0.58
SDSS J115044.21+210632.5,1237667917027999886,0.71
SDSS J160725.10+102532.8,1237668350295081118,0.82
SDSS J141440.16+205437.5,1237667783920124095,0.84
SDSS J123931.64+254038.6,1237667448342380639,0.84
SDSS J142024.12+174536.1,1237668272440606831,0.74
SDSS J141216.74+184012.1,1237668299289460847,0.56
SDSS J111351.74+165541.8,1237668495778775196,0.58
SDSS J121615.45+174804.4,1237668624622682199,0.63
SDSS J100634.45+142624.6,1237671123767853073,0.56
SDSS J114403.92-023330.1,1237671139869393069,0.68
SDSS J140327.85+004359.5,1237674602678386832,0.7
SDSS J164806.78+245425.1,1237662503763443728,0.78
SDSS J150432.57+112912.5,1237662530071298295,0.57
SDSS J084022.70+233222.7,1237664835927670963,0.77
SDSS J150605.40+242327.6,1237665178452492472,0.54
SDSS J160216.33+491211.4,1237655349965750418,0.8
SDSS J231412.61+133454.6,1237656494571913254,0.82
SDSS J104524.15+202027.2,1237667734499164381,0.84
SDSS J092123.07+164623.2,1237667735564058811,0.69
SDSS J134359.91+175029.6,1237668270826258634,0.64
SDSS J092444.61+200144.8,1237667429557076024,0.79
SDSS J012655.70-000053.0,1237657070619787372,0.66
SDSS J105144.47+155749.9,1237668495239544843,0.83
SDSS J212330.05+043806.0,1237669761716846733,0.69
SDSS J083839.74+382008.1,1237657400804704519,0.6
SDSS J161625.13+510310.2,1237668611197305062,0.55
SDSS J152811.80+023148.2,1237651737390350675,0.71
SDSS J152911.42+004327.3,1237651818952524169,0.7
SDSS J213747.68+112539.1,1237652943160082682,0.78
SDSS J110851.55+600834.5,1237653616398762026,0.82
SDSS J150751.81+544510.0,1237655348350746672,0.67
SDSS J143749.61+064454.3,1237655744553287850,0.59
SDSS J091835.43+443548.8,1237657242433159320,0.65
SDSS J125926.07+590106.4,1237658311332659359,0.56
SDSS J031414.76-060511.0,1237649964065226804,0.78
SDSS J075445.51+461313.0,1237651497368486020,0.81
SDSS J015249.20-081557.3,1237652901834063977,0.71
SDSS J115733.92+611141.3,1237655463230636192,0.58
SDSS J115019.12+620309.3,1237655464304050309,0.73
SDSS J074716.35+265703.6,1237657776071049419,0.63
SDSS J082423.48+305330.6,1237658199660232904,0.54
SDSS J083732.17+290437.7,1237660764300443792,0.59
SDSS J171450.71+573413.0,1237651212287672671,0.55
SDSS J021651.20-085750.4,1237652900226007150,0.79
SDSS J111710.62+075513.4,1237658424631623855,0.64
SDSS J085020.19+411721.9,1237657118412243112,0.8
SDSS J084806.89+415133.2,1237657606427443387,0.67
SDSS J075926.11+325808.5,1237657607495483688,0.69
SDSS J111411.16+564706.2,1237657612337217630,0.76
SDSS J123251.49+084423.8,1237658491209121932,0.56
SDSS J115202.57+501643.6,1237658613594128470,0.52
SDSS J143610.26+503107.7,1237659133283008639,0.7
SDSS J114103.68+101330.3,1237660614512869402,0.79
SDSS J115235.45+490820.0,1237658611983515754,0.66
SDSS J112517.91+002101.7,1237648721763827882,0.58
SDSS J141555.70+043319.1,1237651822708523137,0.78
SDSS J041023.58-044709.4,1237652901312200793,0.63
SDSS J235603.91-005918.6,1237656906354655271,0.73
SDSS J074520.28+265759.4,1237657776607789550,0.63
SDSS J131004.65+493941.4,1237658205051945109,0.78
