SDSS_name,objID,S_pred
SDSS J095702.62-011430.0,1237654668661555353,0.84
SDSS J093009.75+052837.8,1237658423546216587,0.53
SDSS J163700.38+362712.3,1237659329779925234,0.67
SDSS J134253.38+544515.6,1237661385992241363,0.78
SDSS J150004.32+492305.1,1237661416605745301,0.67
SDSS J135013.78+424446.6,1237661872947593278,0.57
SDSS J150622.26+062247.5,1237662268610314411,0.79
SDSS J155324.15+274033.8,1237662339475243370,0.58
SDSS J075341.62+501322.0,1237663916264980570,0.67
SDSS J112523.71+360807.3,1237664818209620099,0.8
SDSS J113134.01+325515.0,1237665331458539587,0.51
SDSS J133355.32+270341.7,1237667444052000861,0.75
SDSS J102206.97+212006.1,1237667536935846082,0.5
SDSS J114243.76+085827.4,1237660612902387836,0.81
SDSS J111242.29+231828.5,1237667910586466542,0.75
SDSS J122426.74+131400.3,1237661950791909467,0.79
SDSS J135244.10+004809.7,1237648722316820532,0.84
SDSS J145721.82+124917.1,1237662638516011174,0.54
SDSS J111410.17+271420.1,1237667431179092040,0.83
SDSS J231501.60+000419.9,1237663784192442622,0.72
SDSS J103210.78+371410.2,1237664668973203504,0.65
SDSS J153334.74+251419.0,1237665102755660027,0.63
SDSS J153335.70+210905.1,1237665442068234536,0.67
SDSS J122740.41+305553.0,1237665443123363894,0.83
SDSS J113944.85+224106.5,1237667783367589960,0.64
SDSS J145256.78+164334.8,1237668272980951071,0.72
SDSS J141118.47+551052.3,1237661418749165664,0.7
SDSS J114347.86+433445.9,1237661871326953628,0.57
SDSS J131650.35+025944.2,1237651754555605087,0.68
SDSS J142042.47+095118.1,1237662239090016452,0.51
SDSS J155205.56+043057.2,1237662267541619164,0.57
SDSS J160352.39+252648.9,1237662663217447265,0.63
SDSS J115644.35+313037.5,1237665225692676188,0.72
SDSS J160338.65+153844.1,1237665531186708579,0.82
SDSS J082453.57+070129.7,1237664285095166352,0.74
SDSS J105147.42+250755.8,1237667429566185569,0.84
SDSS J091732.26+195123.1,1237667430093226282,0.71
SDSS J104011.82+102041.3,1237661948633219135,0.63
SDSS J100135.80+033647.8,1237654604784599100,0.8
SDSS J130337.38+401456.3,1237664295830880436,0.67
SDSS J154523.27+243024.3,1237664852042449153,0.6
SDSS J075545.91+130026.7,1237667253988295147,0.76
SDSS J113108.36+260245.1,1237667429033181206,0.64
SDSS J104423.04+182916.0,1237668293906530358,0.73
SDSS J073856.06+472825.5,1237663788489769303,0.71
SDSS J094139.96+682258.0,1237663917885423644,0.81
SDSS J081932.11+212339.5,1237664091822751833,0.73
SDSS J105620.66+364043.0,1237664339322339440,0.66
SDSS J140412.74+273735.4,1237665442058928286,0.53
SDSS J012513.25+145220.9,1237649920579010661,0.81
SDSS J090406.24+171916.4,1237667486455169116,0.76
SDSS J144513.42+174534.1,1237667781776048234,0.56
SDSS J125817.54+184931.4,1237668270821474422,0.72
SDSS J152651.66+133531.4,1237668310552084759,0.84
SDSS J154720.97+104704.4,1237668349219242138,0.62
SDSS J101652.14+393323.3,1237661849848643705,0.83
SDSS J145341.99+103431.9,1237661950807900548,0.56
